"nbGame","13",,,,,
"Moyenne","19.325684","14.347168","20.108887","18.320068","12.170166","16.595947"
"Victoire","4","0","2","3","2","2"
"TauxV","30.769236%","0.0%","15.384616%","23.076925%","15.384618%","15.384618%"
"Défaite","9","13","11","10","11","11"
"TauxD","69.23077%","100.0%","84.61539%","76.92307%","84.61538%","84.61538%"
